title;published_date;data_url;creator;description;unit;fail_reason
Gemiddeld inkomen, per inwoner;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_11.csv;Statbel;"Gemiddeld netto belastbaar inkomen per inwoner.Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";per inwoner euro;
Gemiddelde huurprijs, naar type goed;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_09.csv;Federale Overheidsdienst Financiën;Gemiddelde huurprijs van woningen volgens type goed. De waarden worden aangegeven in euro. We maken het onderscheid tussen volgende types woningen: (1) appartement, (2) huis. Het onderscheid tussen de verschillende types woningen baseert zich op de aard van het goed, zoals aangegeven bij de registratie door de verhuurder (in de toepassing MyRent). De data worden geklasseerd per jaar, op basis van de datum van tekening van het huurcontract.;;
Gezinszorg;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_19.csv;Vlaams Agentschap Zorg en Gezondheid;Aantal gepresteerde uren gezinszorg per 100 inwoners per jaar. Deze indicator geeft de som van aantal gesubsidieerde uren dat de private en de openbare diensten voor gezinszorg gepresteerd hebben.;per 100 inwoners gepresteerde uren;
Globaal medisch dossier;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_03.csv;InterMutualistisch Agentschap;Aandeel inwoners met een globaal medisch dossier (GMD).;procent personen;
Graag wonen in de gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_16.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat graag woont in de eigen gemeente/stad.;procent personen;
Grijze druk;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_08.csv;Statbel;Verhouding tussen de leeftijdsgroep van ouderen (vergrijsde bevolking, 65 jaar en ouder) en de bevolking op beroepsactieve leeftijd (20-64 jaar).;procent personen;
Groen in de buurt;oktober 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_19.csv;Vlaamse Instelling voor Technologisch Onderzoek;Aandeel van de totale oppervlakte van de stad/de gemeente die ingenomen wordt door woongroen, buurtgroen en wijkgroen en aandeel van de inwoners dat binnen een bepaalde afstand van woongroen (150 meter), buurtgroen (400 meter) en wijkgroen (800 meter ) woont.Woongroen wordt gedefinieerd als elk type groen, ongeacht de grootte. Buurtgroen wordt gedefinieerd als groen met een minimumoppervlakte van 0,2 hectare en wijkgroen als groen met een minimumoppervlakte van 10 hectare.;procent hectare;
Groen in de gemeente;oktober 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_20.csv;Vlaamse Instelling voor Technologisch Onderzoek;Aandeel van de totale oppervlakte van de stad/de gemeente die ingenomen wordt door stadsdeelgroen, stadsgroen en stadsbos en aandeel van de inwoners dat binnen een bepaalde afstand van stadsdeelgroen (1600 meter), stadsgroen (3200 meter) en stadsbos (5000 meter) woont.Stadsdeelgroen wordt gedefinieerd als groen met een minimumoppervlakte van minstens 30 hectare, stadsgroen als groen met een minimumoppervlakte van 60 hectare en stadsbos als groen met een minimumoppervlakte van 200 hectare.;procent hectare;
Groene druk;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_07.csv;Statbel;Verhouding tussen de jeugdige bevolking (0-19 jaar) en de bevolking op beroepsactieve leeftijd (20-64 jaar).;procent personen;
Houding tegenover diversiteit;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_27.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat positief staat tegenover diversiteit, in het bijzonder de aanwezigheid van personen met een verschillende herkomst. Er werd een samengestelde indicator berekend die gebaseerd is op de gemiddelde score op vijf items (de respondent moet minstens op drie items geantwoord hebben, de maximale gemiddelde score is 5). (Zie 'Vraagstelling survey' bij de detail-indicator.) Respondenten met een score van 2,8 of minder zitten in de categorie 'Negatief', respondenten tussen 2,8 en 4 in de categorie 'Neutraal'. Respondenten met een score van 4 of hoger zitten in de categorie 'Positief'. Deze laatste categorie komt overeen met de respondenten die het gemiddeld steeds eens waren met de stellingen (alle stellingen werden in dezelfde richting gedraaid).;procent personen;
Houding tegenover diversiteit (detail);2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_11.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners die oneens, neutraal of eens antwoordde op de stellingen rond diversiteit;procent personen;
Huishoudens, naar grootte;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_64.csv;Statbel;Aantal private huishoudens (personen ingeschreven op eenzelfde hoofdverblijfplaats) per gemeente, op 1 januari van het observatiejaar, naar grootte. Onder huishouden verstaat men alle personen die gewoonlijk eenzelfde woning betrekken en er samen leven. Een huishouden bestaat ofwel uit een persoon die gewoonlijk alleen leeft, ofwel uit twee of meer personen die al dan niet door verwantschap aan elkaar verbonden zijn.Onder collectief huishouden wordt verstaan: religieuze gemeenschappen, rusthuizen, weeshuizen, studenten- en werkliedenhuizen, ziekenhuizen en gevangenissen. In collectieve huishoudens is er geen referentiepersoon.De bepaling van een referentiepersoon binnen het huishouden is noodzakelijk om elk lid binnen het huishouden te situeren (verwantschapsband). In principe zou als referentiepersoon best dat lid van het huishouden genomen worden dat werkelijk de zaken van het huishouden behartigt of voor het grootste deel van de bestaansmiddelen ervan zorgt. In werkelijkheid is de referentiepersoon echter de persoon die het huishouden vertegenwoordigt bij de contacten met de overheid.;procent huishoudens;
Huishoudens, naar type (volgens LIPRO-typologie);januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_77.csv;Statbel;Aantal private huishoudens naar type, in procenten.;procent huishoudens;
Huurders van sociale woning, naar nationaliteit;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_57.csv;Vlaamse Maatschappij voor Sociaal Wonen;Aantal huurders van een sociale woning per nationaliteitsgroep en aandeel van de huurders in het totaal aantal inwoners per nationaliteitsgroep. Het gaat om het aantal unieke huurders op het einde van het jaar. Dat wordt afgezet ten opzichte van het totaal aantal inwoners per nationaliteitsgroep op 1 januari van het volgende jaar.Volgende nationaliteitsgroepen worden gebruikt:- België: personen met een huidige Belgische nationaliteit- EU-burgers (zonder België): personen met een huidige niet-Belgische EU-nationaliteit- niet-EU-burgers: personen met een huidige niet-EU-nationaliteit.;procent huurders;
Huursubsidies en huurpremies;oktober 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_17.csv;Agentschap Wonen Vlaanderen;Aandeel inwoners die een Vlaamse huursubsidie (een tegemoetkoming die men kan ontvangen als men over een beschieden inkomen beschikt en verhuis naar een nieuwe huurwoning) of huurpremie (een premie voor wie 4 jaar of langer ononderbroken voor een sociale huurwoning op een wachtlijst staat bij een domiciliemaatschappij) ontvangen, per 1.000 inwoners.;per 1.000 inwoners personen;
Inburgeraars aangemeld bij onthaalbureau;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_27.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat zich in de loop van het jaar voor het eerst heeft aangemeld bij een onthaalbureau. Personen die behoren tot de verplichte doelgroep van het Vlaamse inburgeringsbeleid moeten zich binnen een termijn van maximaal drie maanden vanaf het moment waarop hun inburgeringsplicht is ontstaan bij een onthaalbureau aanmelden. Ook personen die recht hebben op een inburgeringstraject kunnen zich vrijwillig bij een onthaalbureau aanmelden. Samen met de betrokkene bekijkt het onthaalbureau wat het inburgeringstraject zal inhouden. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De nieuwkomer wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.;per 10.000 inwoners inburgeraars;
Inburgeraars aangemeld bij onthaalbureau, naar doelgroep;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_28.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat zich in de loop van het jaar voor het eerst heeft aangemeld bij een onthaalbureau. Personen die behoren tot de verplichte doelgroep van het Vlaamse inburgeringsbeleid moeten zich binnen een termijn van maximaal drie maanden vanaf het moment waarop hun inburgeringsplicht is ontstaan bij een onthaalbureau aanmelden. Ook personen die recht hebben op een inburgeringstraject kunnen zich vrijwillig bij een onthaalbureau aanmelden. Samen met de betrokkene bekijkt het onthaalbureau wat het inburgeringstraject zal inhouden. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De nieuwkomer wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat zich aanmeldt, zijn opgesplitst naar doelgroep. De doelgroep houdt verband met het feit dat bepaalde categorieën inburgeraars verplicht zijn om een inburgeringstraject te volgen en anderen niet.;procent inburgeraars;
Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_29.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat zich in de loop van het jaar voor het eerst heeft aangemeld bij een onthaalbureau. Personen die behoren tot de verplichte doelgroep van het Vlaamse inburgeringsbeleid moeten zich binnen een termijn van maximaal drie maanden vanaf het moment waarop hun inburgeringsplicht is ontstaan bij een onthaalbureau aanmelden. Ook personen die recht hebben op een inburgeringstraject kunnen zich vrijwillig bij een onthaalbureau aanmelden. Samen met de betrokkene bekijkt het onthaalbureau wat het inburgeringstraject zal inhouden. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De nieuwkomer wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat zich aanmeldt, zijn opgesplitst naar nationaliteit. Bij de opdeling naar nationaliteit wordt een opdeling gemaakt tussen personen met een nationaliteit van een EU+-land en ‘derdelanders’. De EU+-landen zijn de landen van de Europese Unie, Zwitserland, Noorwegen, IJsland en Liechtenstein. De derdelanders zijn de landen buiten de EU+-landen.;procent inburgeraars;
Inburgeraars met inburgeringsattest;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_21.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar een inburgeringsattest heeft behaald. Het aantal personen dat een inburgeringsattest heeft behaald, heeft betrekking op de inburgeraars die het inburgeringstraject volledig hebben doorlopen. Afhankelijk van de situatie van de betrokkene bestaat dergelijk inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.;per 10.000 inwoners inburgeraars;
Inburgeraars met inburgeringsattest, naar doelgroep;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_22.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar een inburgeringsattest heeft behaald. Het aantal personen dat een inburgeringsattest heeft behaald, heeft betrekking op de inburgeraars die het inburgeringstraject volledig hebben doorlopen. Afhankelijk van de situatie van de betrokkene bestaat dergelijk inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat een inburgeringsattest heeft behaald, zijn opgesplitst naar doelgroep. De doelgroep houdt verband met het feit dat bepaalde categorieën inburgeraars verplicht zijn om een inburgeringstraject te volgen en anderen niet.;procent inburgeraars;
Inburgeraars met inburgeringsattest, naar nationaliteit;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_23.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar een inburgeringsattest heeft behaald. Het aantal personen dat een inburgeringsattest heeft behaald, heeft betrekking op de inburgeraars die het inburgeringstraject volledig hebben doorlopen. Afhankelijk van de situatie van de betrokkene bestaat dergelijk inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat een inburgeringsattest heeft behaald, zijn opgesplitst naar nationaliteit. Bij de opdeling naar nationaliteit wordt een opdeling gemaakt tussen personen met een nationaliteit van een EU+-land en ‘derdelanders’. De EU+-landen zijn de landen van de Europese Unie, Zwitserland, Noorwegen, IJsland en Liechtenstein. De derdelanders zijn de landen buiten de EU+-landen.;procent inburgeraars;
Inburgeraars met inburgeringscontract;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_24.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar voor het eerst in een onthaalbureau een inburgeringscontract heeft ondertekend. Het aantal personen dat een inburgeringscontract heeft ondertekend, heeft betrekking op het aantal inburgeraars dat zich bij een onthaalbureau heeft aangemeld en een contract heeft ondertekend om een inburgeringstraject te volgen. Het gaat om de personen die voor het eerst een inburgeringscontract ondertekenen: verhuizers of personen die stoppen met een inburgeringstraject, ondertekenen mogelijk later opnieuw een contract maar worden hier niet opnieuw geteld. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.;per 10.000 inwoners inburgeraars;
Inburgeraars met inburgeringscontract, naar doelgroep;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_25.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar voor het eerst in een onthaalbureau een inburgeringscontract heeft ondertekend. Het aantal personen dat een inburgeringscontract heeft ondertekend, heeft betrekking op het aantal inburgeraars dat zich bij een onthaalbureau heeft aangemeld en een contract heeft ondertekend om een inburgeringstraject te volgen. Het gaat om de personen die voor het eerst een inburgeringscontract ondertekenen: verhuizers of personen die stoppen met een inburgeringstraject, ondertekenen mogelijk later opnieuw een contract maar worden hier niet opnieuw geteld. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat een contract heeft ondertekend, zijn opgesplitst naar doelgroep. De doelgroep houdt verband met het feit dat bepaalde categorieën inburgeraars verplicht zijn om een inburgeringstraject te volgen en anderen niet.;procent inburgeraars;
Inburgeraars met inburgeringscontract, naar nationaliteit;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_26.csv;Agentschap Binnenlands Bestuur, Kruispuntbank Inburgering;Aantal meerderjarige inburgeraars dat in de loop van het jaar voor het eerst in een onthaalbureau een inburgeringscontract heeft ondertekend. Het aantal personen dat een inburgeringscontract heeft ondertekend, heeft betrekking op het aantal inburgeraars dat zich bij een onthaalbureau heeft aangemeld en een contract heeft ondertekend om een inburgeringstraject te volgen. Het gaat om de personen die voor het eerst een inburgeringscontract ondertekenen: verhuizers of personen die stoppen met een inburgeringstraject, ondertekenen mogelijk later opnieuw een contract maar worden hier niet opnieuw geteld. Afhankelijk van de situatie van de betrokkene bestaat een inburgeringstraject uit een basiscursus Nederlands, een cursus maatschappelijke oriëntatie en/of loopbaanoriëntatie. De inburgeraar wordt verwacht op regelmatige basis de lessen te volgen, zoniet kan hij administratief gesanctioneerd worden.De cijfers over het aantal inburgeraars dat een contract heeft ondertekend, zijn opgesplitst naar nationaliteit. Bij de opdeling naar nationaliteit wordt een opdeling gemaakt tussen personen met een nationaliteit van een EU+-land en ‘derdelanders’. De EU+-landen zijn de landen van de Europese Unie, Zwitserland, Noorwegen, IJsland en Liechtenstein. De derdelanders zijn de landen buiten de EU+-landen.;procent inburgeraars;
Inkomende werkpendel;oktober 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_13.csv;Steunpunt Werk - Vlaamse Arbeidsrekening o.b.v. RSZ, RSVZ, RSZPPO, RIZIV, RVA, BISA;Aantal personen die in een bepaalde gemeente werken maar elders wonen, als percentage van het totale bezoldigde tewerkstelling in de gemeente.De inkomende pendel is een afgeleide component van de loontrekkende binnenlandse werkgelegenheid. De binnenlandse werkgelegenheid heeft betrekking op de arbeid die wordt ingezet in de Vlaamse/Belgische vestigingen, uitgedrukt in personen of arbeidsvolume. De binnenlandse werkgelegenheid zoals in deze component uitgewerkt omvat aantal voltijdsequivalente loontrekkende jobs (VTE) of aantal effectief gepresteerde arbeidsuren van alle loontrekkenden vanaf 15 jaar die een hoofdjob hebben in Vlaanderen/België (of andere geografische entiteit). Centraal staat hierbij dus de telling van aantal VTE of gepresteerde arbeidsuren volgens werkplaats.;procent personen;
Instroom en uitstroom lager onderwijs;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_12.csv;Departement Onderwijs & Vorming;Aantal leerlingen in het gewoon of buitengewoon lager onderwijs (1) in vestigingsplaats in de gemeente met een woonplaats buiten de gemeente (instroom), en (2) in vestigingsplaats buiten de gemeente met woonplaats in de gemeente (uitstroom), ten opzichte van het aantal 6- tot 11-jarigen.;procent leerlingen;
Instroom en uitstroom secundair onderwijs;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_24.csv;Departement Onderwijs & Vorming;Aantal leerlingen in het gewoon en buitengewoon secundair onderwijs (inclusief deeltijds onderwijs) (1) in vestigingsplaats in de gemeente met woonplaats buiten de gemeente (instroom), en in vestigingsplaats buiten de gemeente met woonplaats in de gemeente (uitstroom), ten opzichte van het aantal 12- tot 17-jarigen.;procent leerlingen;
Intensiteit van contacten (detail);2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_14.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat minstens wekelijks contact heeft met niet-inwonende familie of vrienden, mensen van Belgische herkomst en mensen van niet-Belgische herkomst;procent personen;
Interne inwijking van vreemdelingen;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_02.csv;Statbel;Aantal vreemdelingen (= personen met huidige vreemde nationaliteit) dat zich in de loop van het jaar vanuit een andere Belgische gemeente in de gemeente is komen vestigen.;per 1.000 inwoners migraties;
Interne uitwijking van vreemdelingen;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_03.csv;Statbel;Aantal vreemdelingen (= personen met huidige vreemde nationaliteit) dat in de loop van het jaar is uitgeweken naar een andere Belgische gemeente.;per 1.000 inwoners migraties;
Interne vergrijzing;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_12.csv;Statbel;Aandeel van de oudste ouderen (80 jaar en ouder) binnen het segment van de oudere bevolking (65 jaar en ouder).;procent personen;
Internetaansluiting in de woning;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_10.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat woont in een woning met een internetaansluiting.;procent personen;
Intrafamiliaal geweld;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_20.csv;Politiële Criminaliteitsstatistieken;Aantal door de politie geregistreerde feiten van intrafamiliaal geweld in de Algemene Nationale Gegevensbank. De gegevens worden weergegeven per gemeente (pleegplaats), opgedeeld per type van intrafamiliaal geweld (IFG), zijnde fysisch, psychisch, economisch of seksueel IFG. Eveneens wordt per type de onderverdeling gemaakt of het IFG binnen het koppel, tegen afstammelingen of tegen andere leden werd gepleegd. Om dubbeltellingen te vermijden, mogen deze verschillende vormen van IFG niet bij elkaar worden opgeteld.;per 10.000 huishoudens feiten;
Investeringsontvangsten;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_06.csv;Agentschap Binnenlands Bestuur;"De investeringsontvangsten betreffen de ontvangsten uit de verkoop van duurzame goederen die het bestuur gebruikt om zijn maatschappelijke opdracht te vervullen en de dienstverlening te organiseren (bv. gebouwen, wegen, gemeentelijk wagenpark). De investeringenontvangsten kunnen worden ingedeeld in de volgende categorieën: verkoop van financiële vaste activa; verkoop van materiële vaste activa; verkoop van immateriële vaste activa en investeringssubsidies en -schenkingen.";per inwoner euro;
Investeringsuitgaven;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_07.csv;Agentschap Binnenlands Bestuur;Investeringen betreffen de uitgaven voor de aanschaf van duurzame goederen die het bestuur gebruikt om zijn maatschappelijke opdracht te vervullen en de dienstverlening te organiseren (bv. gebouwen, wegen, gemeentelijk wagenpark). De investeringen worden ingedeeld in de volgende categorieën: investeringen in financiële vaste activa, investeringen in materiële vaste activa, investeringen in immateriële vaste activa en toegestane investeringssubsidies.;per inwoner euro;
Inwoners die al tien jaar in de gemeente wonen;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat al meer dan tien jaar in de gemeente/stad woont.;procent personen;
Inwoners, naar geslacht;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_01.csv;Statbel;Aantal inwoners naar geslacht zoals geregistreerd in de registers van de burgerlijke stand van de gemeente (bevolking de jure), op 1 januari van een observatiejaar.;procent personen;
Inwoners, naar leeftijd;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_02.csv;Statbel;Aantal inwoners naar leeftijd zoals geregistreerd in de registers van de burgerlijke stand van de gemeente (bevolking de jure), op 1 januari van een observatiejaar.;procent personen;
Inwonersaantal;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_00.csv;Statbel;Aantal inwoners zoals geregistreerd in de registers van de burgerlijke stand van de gemeente (bevolking de jure), op 1 januari van een observatiejaar.;;
Inzetten op klimaatvriendelijke investeringen;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_KL_S_12.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat vindt dat de gemeente/stad meer moet inzetten op klimaatvriendelijke investeringen (2 op 3 stellingen meer inzetten);procent personen;
Inzetten op klimaatvriendelijke investeringen (detail);2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_KL_S_13.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat vindt dat de gemeente/stad meer moet inzetten op klimaatvriendelijke investeringen: renovatie woningen, groepsaankopen, windmolens;procent personen;
Inzetten op maatregelen om samenleven te stimuleren;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_34.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat vindt dat de gemeente/stad moet inzetten op maatregelen om het samenleven tussen alle inwoners te stimuleren.;procent personen;
Jeugdbewegingen;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_09.csv;Koepelorganisaties Vlaamse Jeugdbewegingen;Aantal lokale afdelingen van jeugdbewegingen in Vlaanderen per 10.000 inwoners van 3 tot en met 30 jaar.;per 10.000 inwoners afdelingen;
Jobratio;oktober 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_18.csv;Steunpunt Werk - Vlaamse Arbeidsrekening o.b.v. RSZ, RSZPPO, RSVZ, DWH AM&SB bij de KSZ;De jobratio geeft aantal jobs per 100 inwoners op arbeidsleeftijd (20-64 jaar) weer. De jobs zijn de tijdens de referentieperiode vervulde arbeidsplaatsen bij de in Belgische gemeenten gevestigde productie-eenheden. Het totaal aantal jobs wordt gevormd door het totaal aantal loontrekkende jobs, de jobs van zelfstandigen en de jobs van helpers.;per 100 inwoners jobs;
Jonge kinderen;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_03.csv;Statbel;Aandeel jonge kinderen van 0 tot en met 3 jaar.;procent personen;
Kankerscreening;januari 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_08.csv;Centrum voor Kankeropsporing vzw;Aandeel inwoners dat zich preventief laat onderzoeken voor borstkanker, baarmoederhalskanker en dikkedarmkanker.;procent personen;
